signal_msg_id,signal_ts,symbol,side,entry_price,tp1,tp2,tp3,sl,dca_price,dca_updates_count,dca_updates_detail,tp_hits,moved_sl_bu
5609,2025-09-09 11:26:39,AVAXUSDT,SELL,25.998,25.824,25.651,25.304,26.647,,0,[],tp1,FALSE
5611,2025-09-10 10:02:50,NEARUSDT,SELL,2.658,2.636,2.616,2.572,2.802,,1,"[{""new_entry"": null, ""new_tps"": null, ""new_sl"": 2.802, ""ts"": ""2025-09-10 13:08:49""}]",,FALSE
5612,2025-09-10 11:19:36,LINKUSDT,SELL,23.42,23.232,23.045,22.717,24.684,23.982,0,[],tp_unknown,FALSE
5619,2025-09-11 10:43:54,UNIUSDT,SELL,9.86,9.781,9.702,9.544,10.155,,0,[],"tp1, tp2",FALSE
5620,2025-09-11 10:57:02,WLDUSDT,SELL,1.728,1.7141,1.7003,1.6761,1.8213,1.7694,0,[],,FALSE
5629,2025-09-12 9:13:15,LINKUSDT,BUY,24.447,24.609,24.772,25.098,23.835,,0,[],tp1,FALSE
5630,2025-09-12 10:48:57,DOTUSDT,SELL,4.191,4.157,4.123,4.065,4.471,4.291,0,[],tp_unknown,FALSE
5634,2025-09-13 10:46:40,OPUSDT,SELL,0.8264,0.8197,0.8131,0.8016,0.87,0.8462,0,[],"tp1, tp2",FALSE
5637,2025-09-14 10:27:39,TIAUSDT,SELL,1.821,1.8064,1.7918,1.7663,1.9193,1.8647,0,[],tp_unknown,FALSE
5640,2025-09-15 9:13:43,OPUSDT,SELL,0.7519,0.7468,0.7418,0.7318,0.7706,,0,[],"tp1, tp2",FALSE
5642,2025-09-15 10:25:49,WIFUSDT,BUY,0.8761,0.8831,0.8901,0.9023,0.8287,0.855,0,[],tp1,FALSE
5648,2025-09-16 9:52:51,SOLUSDT,SELL,235.27,233.49,231.92,228.79,240.93,,0,[],"tp1, tp2",FALSE
5649,2025-09-16 11:13:56,NEARUSDT,SELL,2.7006,2.6785,2.6575,2.6195,2.8125,2.7325,1,"[{""new_entry"": 2.7006, ""new_tps"": [2.6785, 2.6575, 2.6195], ""new_sl"": null, ""ts"": ""2025-09-16 17:18:03""}]","tp1, tp2",FALSE
5653,2025-09-17 11:39:54,LINKUSDT,BUY,23.061,23.245,23.429,23.752,21.815,22.507,0,[],,TRUE
5654,2025-09-17 11:42:46,FILUSDT,SELL,2.498,2.478,2.458,2.418,2.572,,0,[],"tp1, tp2",FALSE
5662,2025-09-18 9:37:02,DOGEUSDT,SELL,0.28033,0.27808,0.27584,0.27135,0.28873,,0,[],tp1,FALSE
5663,2025-09-18 10:31:23,OPUSDT,SELL,0.8189,0.8123,0.8057,0.7943,0.8528,0.8286,1,"[{""new_entry"": 0.8189, ""new_tps"": [0.8123, 0.8057, 0.7943], ""new_sl"": null, ""ts"": ""2025-09-18 14:19:20""}]",,FALSE
5667,2025-09-19 9:45:04,LTCUSDT,SELL,116.69,115.91,115.13,113.57,119.6,,0,[],"tp1, tp2",FALSE
5668,2025-09-19 10:16:58,DOGEUSDT,SELL,0.273,0.27081,0.26863,0.26481,0.28774,0.27955,0,[],"tp1, tp2",FALSE
5675,2025-09-20 10:51:11,NEARUSDT,SELL,3.104,3.079,3.054,3.004,3.197,,0,[],tp1,FALSE
5677,2025-09-21 9:35:17,APEUSDT,SELL,0.5985,0.5937,0.5889,0.5805,0.6308,0.6128,0,[],tp1,FALSE
5678,2025-09-21 9:36:15,LINKUSDT,SELL,23.127,22.972,22.818,22.51,23.705,,0,[],tp1,FALSE
5683,2025-09-22 9:51:26,DOTUSDT,SELL,3.953,3.9213,3.8897,3.8265,4.0715,,0,[],,FALSE
5684,2025-09-22 10:21:07,FILUSDT,BUY,2.252,2.27,2.288,2.319,2.13,2.197,0,[],,TRUE
5686,2025-09-23 10:50:41,STXUSDT,BUY,0.5984,0.6031,0.6079,0.6164,0.5729,0.5911,1,"[{""new_entry"": 0.5984, ""new_tps"": [0.6031, 0.6079, 0.6164], ""new_sl"": null, ""ts"": ""2025-09-24 8:26:30""}]",,FALSE
5690,2025-09-24 10:33:46,LINKUSDT,BUY,21.664,21.837,22.01,22.313,20.494,21.144,0,[],tp1,FALSE
5695,2025-09-25 9:34:30,ENAUSDT,BUY,0.5831,0.5877,0.5924,0.6017,0.5518,,1,"[{""new_entry"": null, ""new_tps"": null, ""new_sl"": 0.5518, ""ts"": ""2025-09-25 11:56:56""}]",,TRUE
5696,2025-09-25 10:41:22,DOGEUSDT,BUY,0.22963,0.23146,0.2333,0.23651,0.21987,0.22685,1,"[{""new_entry"": 0.22963, ""new_tps"": [0.23146, 0.2333, 0.23651], ""new_sl"": null, ""ts"": ""2025-09-25 13:07:48""}]","tp1, tp2",FALSE
5704,2025-09-26 10:33:56,LINKUSDT,BUY,20.028,20.188,20.348,20.628,18.946,19.547,0,[],tp1,FALSE
5708,2025-09-27 10:12:25,AAVEUSDT,SELL,268.0,266.21,264.42,260.85,274.7,,0,[],tp2,FALSE
5710,2025-09-28 10:07:38,LINKUSDT,SELL,20.52,20.383,20.246,19.972,21.032,,1,"[{""new_entry"": null, ""new_tps"": [21.511], ""new_sl"": null, ""ts"": ""2025-09-28 14:50:08""}]",,FALSE
5711,2025-09-28 11:21:11,XRPUSDT,SELL,2.7771,2.7548,2.7325,2.6937,2.927,2.8437,0,[],,FALSE
5714,2025-09-29 10:26:22,AVAXUSDT,SELL,29.844,29.645,29.446,29.048,30.59,,0,[],"tp1, tp2",FALSE
5719,2025-09-29 14:29:52,DOGEUSDT,SELL,0.23617,0.23428,0.23239,0.22908,0.24892,0.24183,0,[],tp1,FALSE
5722,2025-09-30 10:22:59,LTCUSDT,SELL,105.4,104.69,103.99,102.58,108.03,,0,[],tp1,FALSE
5723,2025-09-30 11:08:40,ADAUSDT,SELL,0.78773,0.78142,0.77512,0.76409,0.83026,0.80663,0,[],,TRUE
5727,2025-10-01 9:45:18,AAVEUSDT,SELL,285.6,283.69,281.79,277.98,292.74,,0,[],"tp1, tp2",FALSE
5728,2025-10-01 10:10:38,SUIUSDT,SELL,3.4312,3.4037,3.3763,3.3282,3.5736,3.4719,1,"[{""new_entry"": 3.4312, ""new_tps"": [3.4037, 3.3763, 3.3282], ""new_sl"": null, ""ts"": ""2025-10-01 15:47:21""}]",,FALSE
5731,2025-10-02 10:31:26,ADAUSDT,SELL,0.8492,0.8424,0.8356,0.8222,0.8746,,0,[],"tp1, tp2",FALSE
5732,2025-10-02 11:11:06,LINKUSDT,SELL,22.491,22.311,22.131,21.816,23.705,34.03,0,[],"tp1, tp2",FALSE
5737,2025-10-03 10:33:49,LINKUSDT,SELL,22.34,22.191,22.042,21.744,22.898,,0,[],tp1,FALSE
5738,2025-10-03 10:54:48,DOGEUSDT,SELL,0.25674,0.25468,0.25263,0.24903,0.2706,0.2629,0,[],tp1,FALSE
5741,2025-10-04 9:49:41,ENAUSDT,SELL,0.6055,0.6006,0.5958,0.5861,0.6236,,0,[],"tp1, tp2",FALSE
5742,2025-10-04 9:59:38,DOTUSDT,SELL,4.211,4.177,4.143,4.084,4.438,4.312,0,[],tp2,FALSE
5748,2025-10-05 9:33:02,ADAUSDT,SELL,0.8737,0.8667,0.8597,0.8457,0.8999,,0,[],"tp1, tp2",FALSE
5752,2025-10-06 10:19:20,LTCUSDT,SELL,120.48,119.67,118.87,117.26,123.49,,0,[],tp1,FALSE
5753,2025-10-06 10:45:07,ARBUSDT,SELL,0.4443,0.4407,0.4371,0.4309,0.4628,0.4496,1,"[{""new_entry"": 0.4443, ""new_tps"": [0.4407, 0.4371, 0.4309], ""new_sl"": null, ""ts"": ""2025-10-06 13:43:45""}]",,FALSE
5756,2025-10-06 14:51:36,LINKUSDT,SELL,22.736,22.554,22.372,22.053,24.208,23.281,1,"[{""new_entry"": null, ""new_tps"": [22.784, 22.6, 22.278], ""new_sl"": 24.208, ""ts"": ""2025-10-06 15:32:45""}]",,FALSE
5760,2025-10-07 10:40:25,APTUSDT,SELL,5.4328,5.3893,5.3458,5.2698,5.7261,5.5631,0,[],tp1,FALSE
5761,2025-10-07 10:42:00,LINKUSDT,BUY,22.745,22.896,23.048,23.351,22.176,,0,[],,TRUE
5768,2025-10-08 10:47:26,DOGEUSDT,BUY,0.25001,0.25201,0.25401,0.25751,0.2365,0.244,0,[],"tp1, tp2",FALSE
5769,2025-10-08 10:48:31,ENAUSDT,BUY,0.5426,0.5469,0.5512,0.5599,0.5263,,0,[],"tp1, tp2",FALSE
5777,2025-10-09 9:26:11,AVAXUSDT,SELL,28.082,27.857,27.632,27.183,28.924,,0,[],tp2,FALSE
5778,2025-10-09 10:36:42,TIAUSDT,BUY,1.4336,1.445,1.4565,1.4766,1.3561,1.3991,0,[],tp1,FALSE
5784,2025-10-10 10:25:30,ENAUSDT,BUY,0.5492,0.5535,0.5579,0.5667,0.5327,,0,[],tp1,FALSE
5785,2025-10-10 10:54:45,DOTUSDT,BUY,4.123,4.155,4.188,4.246,3.9,4.024,0,[],tp1,FALSE
5790,2025-10-11 10:33:46,DOGEUSDT,BUY,0.19597,0.19753,0.1991,0.20224,0.18497,,1,"[{""new_entry"": null, ""new_tps"": null, ""new_sl"": 0.18497, ""ts"": ""2025-10-11 11:25:59""}]",,FALSE
5791,2025-10-11 10:53:58,FILUSDT,BUY,1.643,1.656,1.669,1.692,1.573,1.623,1,"[{""new_entry"": 1.643, ""new_tps"": [1.656, 1.669, 1.692], ""new_sl"": null, ""ts"": ""2025-10-11 13:44:05""}]",tp_unknown,FALSE
5795,2025-10-12 10:06:45,NEARUSDT,BUY,2.308,2.326,2.344,2.381,2.17,,1,"[{""new_entry"": null, ""new_tps"": [2.17], ""new_sl"": 2.17, ""ts"": ""2025-10-12 13:32:20""}]",,FALSE
5796,2025-10-12 10:22:43,APTUSDT,BUY,3.5922,3.6209,3.6496,3.6999,3.3982,3.5059,0,[],,FALSE
5800,2025-10-13 9:29:25,SUIUSDT,SELL,2.8416,2.8188,2.7961,2.7506,3.0158,,1,"[{""new_entry"": null, ""new_tps"": [3.0158], ""new_sl"": 3.0158, ""ts"": ""2025-10-13 10:08:19""}]","tp1, tp2",FALSE
5803,2025-10-14 9:21:39,OPUSDT,SELL,0.4752,0.4713,0.4675,0.4599,0.4894,,0,[],tp1,FALSE
5805,2025-10-14 10:22:45,WLDUSDT,BUY,0.9266,0.934,0.9414,0.9543,0.8765,0.9043,0,[],tp1,FALSE
5809,2025-10-15 10:33:45,DOTUSDT,SELL,3.251,3.224,3.198,3.153,3.426,3.329,0,[],"tp1, tp2",FALSE
5819,2025-10-16 8:58:10,AVAXUSDT,BUY,21.755,21.954,22.128,22.476,21.126,,0,[],,FALSE
5822,2025-10-16 9:51:05,LINKUSDT,BUY,18.178,18.324,18.469,18.724,17.191,17.742,0,[],"tp1, tp2",FALSE
5828,2025-10-17 9:35:41,BNBUSDT,BUY,1048.7,1057.0,1065.4,1082.2,1017.2,,0,[],"tp1, tp2",FALSE
5832,2025-10-18 9:31:03,AAVEUSDT,SELL,209.25,207.57,205.9,202.55,215.52,,0,[],tp1,FALSE
5833,2025-10-18 10:14:27,ADAUSDT,SELL,0.6354,0.6303,0.6252,0.6163,0.6697,0.6506,0,[],"tp1, tp2",FALSE
5837,2025-10-20 8:43:41,AVAXUSDT,BUY,20.871,21.056,21.223,21.557,20.262,,0,[],,FALSE
5838,2025-10-20 10:42:44,ADAUSDT,BUY,0.6642,0.6696,0.6749,0.6842,0.636,0.6562,1,"[{""new_entry"": 0.6642, ""new_tps"": [0.6696, 0.6749, 0.6842], ""new_sl"": null, ""ts"": ""2025-10-20 16:16:17""}]",tp_unknown,FALSE
5843,2025-10-21 9:46:48,LINKUSDT,BUY,17.907,18.05,18.193,18.48,17.369,,0,[],"tp1, tp2",FALSE
5844,2025-10-21 10:50:31,FILUSDT,BUY,1.568,1.581,1.594,1.616,1.484,1.531,0,[],,FALSE
5853,2025-10-22 9:31:47,LTCUSDT,BUY,92.09,92.9,93.64,96.11,89.4,,0,[],"tp_unknown, tp2",FALSE
5854,2025-10-22 10:31:42,LINKUSDT,BUY,17.412,17.552,17.691,17.935,16.472,16.995,0,[],tp_unknown,FALSE
5859,2025-10-23 10:23:20,AVAXUSDT,BUY,19.591,19.747,19.904,20.217,19.003,,0,[],,FALSE
5860,2025-10-23 10:43:41,FILUSDT,BUY,1.545,1.558,1.57,1.592,1.462,1.508,0,[],tp1,FALSE
5865,2025-10-24 9:37:29,DOGEUSDT,BUY,0.19728,0.19885,0.20043,0.20359,0.19136,,0,[],"tp1, tp2",FALSE
5866,2025-10-24 9:38:36,DOTUSDT,BUY,3.061,3.086,3.11,3.153,2.896,2.988,0,[],"tp1, tp2",FALSE
5871,2025-10-25 10:13:39,ENAUSDT,BUY,0.4604,0.464,0.4677,0.4751,0.4465,,0,[],"tp1, tp2",FALSE
5876,2025-10-26 9:50:08,SUIUSDT,BUY,2.5731,2.5936,2.6142,2.6554,2.4959,,0,[],tp1,FALSE
5877,2025-10-26 10:09:50,LINKUSDT,BUY,18.014,18.159,18.303,18.555,17.042,17.582,0,[],"tp1, tp2",FALSE
5883,2025-10-27 9:43:36,APTUSDT,SELL,3.491,3.463,3.435,3.379,3.595,,0,[],"tp1, tp2",FALSE
5886,2025-10-28 9:13:09,AAVEUSDT,SELL,237.02,235.12,233.22,229.43,244.13,,0,[],"tp1, tp2",FALSE
5888,2025-10-28 10:42:45,ARBUSDT,SELL,0.3275,0.3248,0.3222,0.3176,0.3451,0.3353,0,[],"tp1, tp2",FALSE
5891,2025-10-29 10:10:48,NEARUSDT,BUY,2.269,2.287,2.305,2.341,2.2,,0,[],"tp1, tp2",FALSE
5893,2025-10-29 10:40:16,LINKUSDT,BUY,18.006,18.151,18.295,18.547,17.034,17.574,0,[],tp1,FALSE
5896,2025-10-30 9:32:06,AVAXUSDT,BUY,19.499,19.654,19.81,20.122,18.914,,1,"[{""new_entry"": null, ""new_tps"": [18.383], ""new_sl"": null, ""ts"": ""2025-10-30 12:18:44""}]",,FALSE
5897,2025-10-30 10:46:28,DOTUSDT,BUY,2.968,2.992,3.016,3.058,2.842,2.932,1,"[{""new_entry"": 2.968, ""new_tps"": [2.992, 3.016, 3.058], ""new_sl"": null, ""ts"": ""2025-10-30 12:43:36""}]",,FALSE
5903,2025-10-31 10:49:10,LINKUSDT,SELL,17.289,17.15,17.012,16.735,17.807,,0,[],"tp1, tp2",FALSE
5904,2025-10-31 10:58:54,WLDUSDT,SELL,0.7992,0.7928,0.7864,0.7752,0.8423,0.8183,0,[],"tp1, tp2",FALSE
5908,2025-11-01 10:48:32,LINKUSDT,SELL,17.382,17.242,17.103,16.86,18.32,17.799,0,[],,FALSE
5911,2025-11-02 9:31:43,WLDUSDT,BUY,0.8586,0.8654,0.8723,0.886,0.8105,,1,"[{""new_entry"": null, ""new_tps"": null, ""new_sl"": 0.8105, ""ts"": ""2025-11-02 13:35:09""}]",,FALSE
5912,2025-11-02 10:47:11,ARBUSDT,BUY,0.308,0.3105,0.313,0.3173,0.2914,0.3007,0,[],,FALSE
5915,2025-11-03 11:00:41,LINKUSDT,BUY,15.894,16.022,16.149,16.371,15.036,15.513,0,[],"tp1, tp2",FALSE
5916,2025-11-03 11:05:02,UNIUSDT,BUY,5.374,5.416,5.459,5.545,5.212,,0,[],"tp1, tp2",FALSE
5922,2025-11-04 10:16:58,FILUSDT,BUY,1.476,1.487,1.499,1.523,1.431,,0,[],tp1,FALSE
